Title,Locations,Fun facts,Production company,Distributor,Director,Writer,Actor 1,Actor 2,Actor 3,Longitude,Latitude,Analysis neighborhood,Imdb_id,Year,Kind,Genres,Plot,Language,Country,Certificates,Runtime,Awards,Imdb_rating,Imdb_votes,Metascore,Box_office,Poster,Rt_score,Metacritic_score
Murder in the First,Columbus Avenue between Washington and Bay Streets,,Turner North Center Productions,Turner Network Television (TNT),Steven Bochcho,Eric Lodal,Taye Diggs,Kathleen Robertson,Ian Anthony Dale,-122.41802,37.8056,Russian Hill,tt2402061,2014,series,"Crime, Drama, Mystery","A single murder case is dissected from the committing of the crime through to the investigation, arrest and trial.",English,United States,TV-MA,1,2 wins & 2 nominations total,7.3,8057,,,https://m.media-amazon.com/images/M/MV5BMDJhYmQyYmUtZDg4ZS00M2RmLWFjZmYtMmMxYWVlZDYzNTA5XkEyXkFqcGc@._V1_SX300.jpg,,
Ant-Man and the Wasp: Quantumania,Central Police Station 766 Vallejo Street,,Pym Particles Production III LLC,Walt Disney Studios Motion Pictures,Peyton Reed,Jeff Loveness,Paul Rudd,Evangeline Lilly,Jonathan Majors,-122.4099386,37.7987411,Chinatown,tt10954600,2023,movie,"Action, Adventure, Comedy",The further adventures of Ant-Man and the Wasp.,English,"United States, Australia, Canada",PG-13,124,14 nominations total,6,265100,48,"$214,504,909 ",https://m.media-amazon.com/images/M/MV5BMThkYWY5ZjQtYjJlMS00MDFmLWFkYzEtODEzZjg5YWFmMGY4XkEyXkFqcGc@._V1_SX300.jpg,46%,48/100
Just Like Heaven,,,DreamWorks SKG,DreamWorks Distribution,Mark Waters,Peter Tolan,Reese Witherspoon,Mark Ruffalo,,,,,tt0425123,2005,movie,"Comedy, Drama, Fantasy","Elizabeth Masterson, a dedicated doctor in San Francisco, had almost no time for anything. When she gets into a tragic car crash and goes into a coma, a landscape architect moves into Elizabeth's apartment for rent - where he meets her amnesiac ethereal form.","English, Spanish, Mandarin",United States,PG-13,95,1 win & 1 nomination total,6.7,125202,47,"$48,318,130 ",https://m.media-amazon.com/images/M/MV5BYjQ5MDc1OWEtOTAzZS00OWE1LWE5MmMtMGRlMDExZTRhZTQyXkEyXkFqcGc@._V1_SX300.jpg,54%,47/100
Looking,"Mission Arts Center, 2450 Harrison Street",,"Mission Street Productions, LLC",HBO,Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie Alvarez,Murray Bartlett,-122.4126175,37.758168,Mission,tt2581458,2014,series,"Comedy, Drama, Romance","Three best friends living in San Francisco share the nuances and complexities of contemporary gay relationships as they explore a variety of options, both in love and in life.",English,United States,TV-MA,30,4 wins & 19 nominations total,8.2,22547,,,https://m.media-amazon.com/images/M/MV5BNzEwYjUyZjgtNmI1OC00ZThlLWFjZDgtMmNlMTk3NDE5ZjY0XkEyXkFqcGc@._V1_SX300.jpg,,
San Andreas,AT&T Stadium,"3 characters run out of stadium, there is a group of people on the sidewalk, an earthquake hits, and they duck for cover","Upside Down Productions, Inc.",Warner Bros.,Brad Peyton,Allan Loeb,Dwayne Johnson,,,-122.3892168,37.7784136,Mission Bay,tt2126355,2015,movie,"Action, Adventure, Thriller","In San Andreas, California is experiencing a statewide earthquake that goes on record as easily the biggest earthquake in history. Dwayne Johnson plays Ray Gaines, a helicopter rescue pilot for the Los Angeles Fire Department, who is trying to find his daughter, Blake (Alexandra Daddario), who is in San Francisco amid-st the chaos. Ray's estranged wife, Emma, is forced to turn to Ray for help, as he is her last resort. Together they journey to save their daughter.",English,"United States, Canada",PG-13,114,2 wins & 10 nominations total,6.1,271110,43,"$155,190,832 ",https://m.media-amazon.com/images/M/MV5BYmQzNDEzMzMtM2U5OS00YTUzLWI2NDYtYjI2NjAyNWE5YzMzXkEyXkFqcGc@._V1_SX300.jpg,48%,43/100
Looking,Eddy @ Polk Street,,"Mission Street Productions, LLC",HBO,Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie Alvarez,Murray Bartlett,-122.419019,37.783059,Tenderloin,tt2581458,2014,series,"Comedy, Drama, Romance","Three best friends living in San Francisco share the nuances and complexities of contemporary gay relationships as they explore a variety of options, both in love and in life.",English,United States,TV-MA,30,4 wins & 19 nominations total,8.2,22547,,,https://m.media-amazon.com/images/M/MV5BNzEwYjUyZjgtNmI1OC00ZThlLWFjZDgtMmNlMTk3NDE5ZjY0XkEyXkFqcGc@._V1_SX300.jpg,,
Americana,33 Spruce St,,Sutro Films LLC,,Zachary Shedd,Zachary Shedd,Kelli Garner,Jack Davenport,Peter Coyote,-122.4544114,37.7903388,Presidio Heights,tt3662778,2016,movie,Drama,An alcoholic film editor puts together the pieces of his movie star sister's murder.,English,United States,R,81,1 win & 1 nomination,5.5,62,,,https://m.media-amazon.com/images/M/MV5BYjYxNGI3MmUtOTYyNS00MzFhLTg1NDgtNDhlMTZlYjBjMjAxXkEyXkFqcGdeQXVyNTEyMDQyMjM@._V1_SX300.jpg,,
I'm a Virgo,"Fairmont Hotel, 950 Mason Street",,Bing Bang Productions Inc,Prime Video,Boots Riley,Boots Riley,Jharrel Jerome,Mike Epps,Carmen Ejogo,-122.4100923,37.7923883,Nob Hill,tt13649510,2023,series,"Comedy, Drama, Fantasy","The coming-of-age joyride of Cootie, a 13-foot-tall man who escapes to experience the beauty and contradictions of the real world. He forms friendships, finds love, navigates awkward situations, and encounters his idol, The Hero.",English,United States,TV-14,,1 win & 17 nominations,7.1,4250,,,https://m.media-amazon.com/images/M/MV5BOGZhZDMxZDgtMWY5ZC00MTVmLWFjMGUtOWI3N2FiMTg2MTI4XkEyXkFqcGc@._V1_SX300.jpg,,
Vertigo,"California Palace of the Legion of Honor (34th Avenue & Clement, Lincoln Park)","Built in 1924, the Legion of Honor is a 3/4 replica of the Parisian Palais de la Legion d'Honneur.",Alfred J. Hitchcock Productions,Paramount Pictures,Alfred Hitchcock,Alec Coppel,James Stewart,Kim Novak,Barbara Bel Geddes,-122.5008419,37.7844661,Lincoln Park,tt0052357,1958,movie,"Mystery, Romance, Thriller","Following his early retirement as a detective from the San Francisco Police Department, John Ferguson - Scottie to his friends - becomes obsessed with two women in succession, those obsessions which trouble his long time friend and former fiancée, Midge Wood, a designer of women's undergarments. The first is wealthy and elegant platinum blonde Madeleine Elster, the wife of his college acquaintance Gavin Elster, who hires John to follow her in Gavin's belief that she may be a danger to herself in thinking that she has recently been possessed by the spirit of Carlotta Valdes, Madeleine's great-grandmother who she knows nothing about, but who Gavin knows committed suicide in being mentally unbalanced when she was twenty-six, Madeleine's current age. The second is Judy Barton, who John spots on the street one day. Judy is a working class girl, but what makes John obsessed with her is that, despite her working class style and her brunette hair, she is the spitting image of Madeleine, into who he tries to transform Judy. The initial question that John has is if there is some connection between Madeleine and Judy. What happens between John and individually with Madeleine and Judy is affected by the reason John took that early retirement: a recent workplace incident that showed that he is acrophobic which leads to a severe case of vertigo whenever he looks down from tall heights.",English,United States,PG,128,Nominated for 2 Oscars. 9 wins & 8 nominations total,8.2,456449,100,"$7,863,310 ",https://m.media-amazon.com/images/M/MV5BNzEyZTUxMWItMGVhYy00Y2NlLTljYTMtYzBmMzI1YmUyMDBkXkEyXkFqcGc@._V1_SX300.jpg,93%,100/100
The Pleasure of His Company,Grace Cathedral Episcopal Church (1100 California Street),Grace Cathedral Episcopal Church is the West Coast's largest Episcopalian cathedral.,Perlsea Company,Paramount Pictures,George Seaton,Samuel A. Taylor,Fred Astaire,Debbie Reynolds,Lilli Palmer,-122.4133739,37.7918593,Nob Hill,tt0055307,1961,movie,Comedy,"San Francisco debutante, Jessica Poole, is marrying Napa Valley cattle rancher, Roger Henderson, and hopes her peripatetic father, ""Pogo"" Poole, whom she hasn't seen for years, comes to the wedding. He arrives, disrupting the household of his ex-wife, Katharine, and her long-suffering husband, and befriending their cook, Toy. At first it seems that Pogo is set on breaking up the engagement, making up for years of neglect by wining and dining Jessica, showing up Roger as a hick, and enticing her to come to Europe with him. Then it seems his real goal is to win back Katharine's heart: why else would he have two tickets to Paris booked on a plane leaving right after the reception?","English, French, Italian",United States,Not Rated,115,2 nominations,6.7,914,,,https://m.media-amazon.com/images/M/MV5BZDMwNGIwZDAtZGM1YS00ODU3LThhYTktZjljN2EyODM1OTE4XkEyXkFqcGc@._V1_SX300.jpg,,
The Diary of a Teenage Girl,304 Lily St.,,"Diary the Movie, LLC",Sony Pictures Classics,Marielle Heller,Marielle Heller,Alexander Skarsgard,Kristen Wiig,Christopher Meloni,-122.4261039,37.7742084,Hayes Valley,tt3172532,2015,movie,"Comedy, Drama, Romance",A teen artist living in 1970s San Francisco enters into an affair with her mother's boyfriend.,English,United States,R,102,16 wins & 37 nominations total,6.8,34243,87,"$1,477,002 ",https://m.media-amazon.com/images/M/MV5BMjE4MTQ3NTgwOF5BMl5BanBnXkFtZTgwMDQ3NTc5NTE@._V1_SX300.jpg,95%,87/100
Godzilla,Broadway & Sansome,,"Nautilus Productions, LLC",Warner Bros. Pictures,Gareth Edwards,Max Borenstein,Aaron Taylor-Johnson,Elizabeth Olsen,Bryan Cranston,-122.4022487,37.7984316,North Beach,tt0831387,2014,movie,"Action, Adventure, Sci-Fi","In 1999, the Janjira nuclear plant was mysteriously destroyed with most hands lost including supervisor Joe Brody's colleague and wife, Sandra. Years later, Joe's son, Ford, a US Navy ordnance disposal officer, must go to Japan to help his estranged father who obsessively searches for the truth of the incident. In doing so, father and son discover the disaster's secret cause on the wreck's very grounds. This enables them to witness the reawakening of a terrible threat to all of Humanity, which is made all the worse with a second secret revival elsewhere. Against this cataclysm, the only hope for the world may be Godzilla, but the challenge for the King of the Monsters will be great even as Humanity struggles to understand the destructive ally they have.","English, Japanese","United States, Japan",PG-13,123,7 wins & 31 nominations total,6.4,462092,62,"$200,676,069 ",https://m.media-amazon.com/images/M/MV5BODE2NTdmMmYtY2U1OS00MjExLWIwNjQtYjQ5NTA0ZDZmZjZiXkEyXkFqcGc@._V1_SX300.jpg,76%,62/100
A Jitney Elopement,20th and Folsom Streets,,The Essanay Film Manufacturing Company,General Film Company,Charles Chaplin,Charles Chaplin,Charles Chaplin,Edna Purviance,,-122.42792,37.75826,Castro/Upper Market,tt0005571,1915,movie,"Short, Comedy","Edna's father wants her to marry wealthy Count He-Ha. Charlie, Edna's true love, impersonates the Count at dinner, but the real Count shows up and Charlie is thrown out. Later on Charlie and Edna are chased by her father, The Count, and three policeman. The pursuers drive off a pier.","None, English",United States,TV-G,26,,5.9,1464,,,https://m.media-amazon.com/images/M/MV5BN2MzNWM0ZmItZDA4Yi00ZGExLWEwYzUtYTgyMGFjOTdiYzQzXkEyXkFqcGc@._V1_SX300.jpg,,
Devs,Duboce Park,,Minim Productions,FX Network,Alex Garland,Alex Garland,Sonoya Mizuno,Nick Offerman,Jin Ha,-122.433214,37.769551,Haight Ashbury,tt8134186,2020,series,"Drama, Mystery, Sci-Fi","A computer engineer investigates the secretive development division in her company, which she believes is behind the disappearance of her boyfriend.","English, Chinese","United Kingdom, United States",TV-MA,409,Nominated for 4 Primetime Emmys. 14 nominations total,7.6,55967,,,https://m.media-amazon.com/images/M/MV5BMDBmMGFiNGYtNDRjMS00NzJlLWE5YjctOTkzNDM0ODM5YTRlXkEyXkFqcGc@._V1_SX300.jpg,,
The Etruscan Smile,San Francisco City Hall,The museum party interiors were shot in the Historic San Francisco City Hall.,"Po Valley Productions, LLC",TBD,Oded Binnun/ Michel Brezis,"Sarah Bellwood, Michal Lali Kagan, Michael McGowan Amital Stern, Jose Luis Sampedro",Brian Cox,Roseanne Arquette,Thora Birch,-122.4192417,37.779275,Tenderloin,tt5459382,2018,movie,"Comedy, Drama","Brian Cox is Rory MacNeil, a rugged old Scotsman who reluctantly leaves his beloved isolated Hebridean island for San Francisco to seek medical treatment. Moving in with his estranged son, Rory's life will be unexpectedly transformed through a newly found love for his baby grandson.","English, Gaelic",United States,R,107,7 wins & 3 nominations total,6.9,2297,54,"$8,213 ",https://m.media-amazon.com/images/M/MV5BNGY4YjY3ZjItMjQzOS00ZGE2LWEyYzctNWI2MzIzYjgwNDE0XkEyXkFqcGc@._V1_SX300.jpg,70%,54/100
Murder in the First,901 Missouri Street,,Turner North Center Productions,Turner Network Television (TNT),Steven Bochcho,Eric Lodal,Taye Diggs,Kathleen Robertson,Ian Anthony Dale,-122.3955818,37.7548219,Potrero Hill,tt2402061,2014,series,"Crime, Drama, Mystery","A single murder case is dissected from the committing of the crime through to the investigation, arrest and trial.",English,United States,TV-MA,1,2 wins & 2 nominations total,7.3,8057,,,https://m.media-amazon.com/images/M/MV5BMDJhYmQyYmUtZDg4ZS00M2RmLWFjZmYtMmMxYWVlZDYzNTA5XkEyXkFqcGc@._V1_SX300.jpg,,
The Internship,Players Arcade at Pier 39,,Twentieth Century Fox Film Corporation,Twentieth Century Fox Film Corporation,Shawn Levy,Vince Vaughn,Vince Vaughn,Owen Wilson,Rose Byrne,-122.410476,37.811104,North Beach,tt2234155,2013,movie,Comedy,"Billy (Vince Vaughn) and Nick (Owen Wilson) are salesmen whose careers have been torpedoed by the digital world. Trying to prove they are not obsolete, they defy the odds by talking their way into a coveted internship at Google, along with a battalion of brilliant college students. But, gaining entrance to this utopia is only half the battle. Now they must compete with a group of the nation's most elite, tech-savvy geniuses to prove that necessity really is the mother of re-invention.","English, Tagalog, Cantonese, Mandarin, Spanish",United States,PG-13,119,2 nominations total,6.3,226022,42,"$44,672,764 ",https://m.media-amazon.com/images/M/MV5BMjM1MzczMDgwOV5BMl5BanBnXkFtZTcwMDM4NjM2OQ@@._V1_SX300.jpg,34%,42/100
A Man on the Inside,Geary St. between Powell and Stockton,,"Universal Television, LLC",Netflix,Morgan Sackett,Michael Schur,Ted Danson,Mary Elizabeth Ellis,Lilah Richcreek Estrada,-122.4086079,37.7873909,Tenderloin,tt26670955,2024,series,"Comedy, Crime","Charles, a retired man, gets a new lease on life when he answers an ad from a private investigator and becomes a mole in a secret investigation in a nursing home.","English, Spanish","United States, Chile",TV-14,,2 wins & 7 nominations total,7.6,42370,,,https://m.media-amazon.com/images/M/MV5BMGZiMTFjZDUtYWI1MS00YjFkLWFhMGUtZTdkY2YxY2M2MzJkXkEyXkFqcGc@._V1_SX300.jpg,,
Surface,California St. at Mason St.,,"Apple Studios, LLC",Apple TV+,Sam Miller,"Veronica West, Erica L. Anderson,Tony Saltzman, Glenise Mullins, Leigh Ann Biety, Dan Lee West, Leigh Ann Biety & Raven Jackson, Martín Zimmerman",Gugu Mbatha-Raw,Oliver Jackson-Cohen,Stephan James,-122.4108452,37.7918443,Nob Hill,tt13694702,2022,series,"Drama, Mystery, Thriller","A woman's quest to rebuild her life after a suicide attempt, and her struggle to understand all the things that led up to that moment.",English,United States,TV-MA,31,1 nomination total,6.4,8043,,,https://m.media-amazon.com/images/M/MV5BNWZiNTA3NWYtZTY1Ni00ODQ1LWE1ZGMtNzA3YTBiMzNjMGQyXkEyXkFqcGc@._V1_SX300.jpg,,
Devs,Pier 7,,Minim Productions,FX Network,Alex Garland,Alex Garland,Sonoya Mizuno,Nick Offerman,Jin Ha,-122.3956409,37.7993521,Financial District/South Beach,tt8134186,2020,series,"Drama, Mystery, Sci-Fi","A computer engineer investigates the secretive development division in her company, which she believes is behind the disappearance of her boyfriend.","English, Chinese","United Kingdom, United States",TV-MA,409,Nominated for 4 Primetime Emmys. 14 nominations total,7.6,55967,,,https://m.media-amazon.com/images/M/MV5BMDBmMGFiNGYtNDRjMS00NzJlLWE5YjctOTkzNDM0ODM5YTRlXkEyXkFqcGc@._V1_SX300.jpg,,
The OA,724 Larkin St,,Lunar Mining LLC,Netflix,Zal Batmanglij,"Zal Batmanglij, Brit Marling",Brit Marling,Emory Cohen,Patrick Gibson,-122.4175821,37.7846455,Tenderloin,tt4635282,2016,series,"Drama, Fantasy, Mystery","Created and written by Brit Marling and Zal Batmanglij (The East), this Netflix original delves into the inexplicable reappearance of Prairie Johnson (Marling). Having gone missing seven years ago, the previously blind Johnson returns home, now in her late 20s and with her sight restored. While many believe she is miracle, others worry that she could be dangerous.",English,United States,TV-MA,2,3 wins & 9 nominations total,7.8,124749,,,https://m.media-amazon.com/images/M/MV5BMTY5OTkwNDkzOF5BMl5BanBnXkFtZTgwMDEyNzI1NzM@._V1_SX300.jpg,,
The Etruscan Smile,Hooker Alley Garden on Mason between Bush & Pine,,"Po Valley Productions, LLC",TBD,Oded Binnun/ Michel Brezis,"Sarah Bellwood, Michal Lali Kagan, Michael McGowan Amital Stern, Jose Luis Sampedro",Brian Cox,Roseanne Arquette,Thora Birch,-122.4102081,37.7904395,Nob Hill,tt5459382,2018,movie,"Comedy, Drama","Brian Cox is Rory MacNeil, a rugged old Scotsman who reluctantly leaves his beloved isolated Hebridean island for San Francisco to seek medical treatment. Moving in with his estranged son, Rory's life will be unexpectedly transformed through a newly found love for his baby grandson.","English, Gaelic",United States,R,107,7 wins & 3 nominations total,6.9,2297,54,"$8,213 ",https://m.media-amazon.com/images/M/MV5BNGY4YjY3ZjItMjQzOS00ZGE2LWEyYzctNWI2MzIzYjgwNDE0XkEyXkFqcGc@._V1_SX300.jpg,70%,54/100
Chance,Montgomery between Pacific and Broadway,,TVM Productions,HULU,Sara Gran,Dan Attias,Hugh Laurie,Gretchen Mol,Ethan Suplee,-122.4040634,37.7981354,North Beach,tt5620076,2016,series,"Drama, Mystery, Thriller","Modern day noir story about Psychiatrist Eldon Chance, who's in a rut. He's middle-aged, his wife wants a divorce, which might put a strain on his relationship with his astute teenage daughter he deeply cares about, and he's getting tired of his professional work. Chance's natural talent for psychoanalysis allows him to easily assess everyone that wants his help but that doesn't mean he can actually cure them or even help them. Everything changes however, when he meets mysterious and attractive Jaclyn Blackstone, who turns out to have both dark secrets and big psychological as well as private problems. But her most immediate problem is her abusive ex-husband Raymond Blackstone, who also happens to be a corrupt cop with connections. Chance falls for Jaclyn and becomes obsessed with helping her but he quickly realizes that he's in over his head. Help eventually comes in the form of a hulking man called D. While clearly a bit unhinged, asocial and disturbed, D is also highly skilled, calculated, smart and efficient and possesses huge knowledge of tactics, weaponry and hand-to-hand combat. He is also highly focused and loyal and agrees to help Chance find a way to deal with the new and dangerous situation he's put himself in over Jaclyn.",English,United States,TV-MA,1,,7.5,11253,,,https://m.media-amazon.com/images/M/MV5BOTc3MDYwNTg4NF5BMl5BanBnXkFtZTgwMTk0NDYzMDI@._V1_SX300.jpg,,
"Play It Again, Sam",Aquatic Park (Jefferson Street),"Located at one end of Fisherman's Wharf, Aquatic Park was built as part of FDR's Works Progress Administration Project.",Paramount Pictures,Paramount Pictures,Herbert Ross,Woody Allen,Woody Allen,Diane Keaton,Tony Roberts,-122.4235663,37.8064162,Russian Hill,tt0069097,1972,movie,"Comedy, Romance","A mild mannered film critic is dumped by his wife and his ego is crushed. His hero persona is the tough guy played by Humphrey Bogart in many of his movies and the apparition of Bogart begins showing up to give him advice. With the encouragement of his two married friends, he actually tries dating again, with less than satisfactory results, until he relaxes.","English, Italian",United States,PG,85,1 win total,7.6,29533,77,,https://m.media-amazon.com/images/M/MV5BODQ1YWZiMjItYjU2OS00YTYzLWE1MWEtYmM4MzE2YTJiYzUxXkEyXkFqcGc@._V1_SX300.jpg,97%,77/100
By Hook or by Crook,"Royan Hotel (405 Valencia Street, Mission District)",,Steakhaus Productions,Artistic License,Harriet Dodge & Silas Howard,Harriet Dodge & Silas Howard,Silas Howard,,,-122.4218163,37.7663816,Mission,tt0290498,2001,movie,"Crime, Drama, Romance","By Hook or by Crook chronicles the tale of two unlikely friends who commit petty crimes as they search for a path to understanding themselves and the outside world. Silas Howard plays Shy (a transgender man), who leaves his small town after the death of his father, and heads to the big city to live a life of crime. Along the way, he encounters Valentine, a quirky adoptee, in search of his birth mother. An immediate kinship is sparked between these men and they become partners in crime. Suffering money troubles, emotional problems, and physical confrontations, the duo face their issues head on and learn to trust each other and support each other in pursuit of their goals.",English,United States,Not Rated,98,7 wins,5.7,344,47,"$1,802 ",https://m.media-amazon.com/images/M/MV5BMjAwMjYwMDk3NV5BMl5BanBnXkFtZTcwMjkyMDAwMQ@@._V1_SX300.jpg,67%,47/100
On the Road,Bay Bridge,,SPAD Films,IFC Films & Sundance Selects,Walter Salles,Jack Kerouac & Jose Rivera,Garrett Hedlund,Viggo Mortenson,,-122.3648992,37.8102258,Treasure Island,tt0337692,2012,movie,"Adventure, Drama, Romance","Shaken by the death of his father and discouraged by his stalled career, writer Sal Paradise goes on a road trip hoping for inspiration. While traveling, he is befriended by charismatic and fearless Dean Moriarty and Moriarty's free-spirited and seductive young wife, Marylou. Traveling across the American southwest together, they strive to break from conformity and and search the unknown, and their decisions change the very course of their lives.","English, French, Spanish","France, United States, United Kingdom, Mexico, Canada, Brazil, Argentina",R,124,2 wins & 4 nominations,6,43662,56,"$744,296 ",https://m.media-amazon.com/images/M/MV5BMTc1MzU5MDgzMF5BMl5BanBnXkFtZTcwMDQ4ODY2OA@@._V1_SX300.jpg,47%,56/100
Chance,Embarcadero at Vallejo St.,,TVM Productions Inc.,Hulu,Rozann Dawson,Alexandra Cunningham,Hugh Laurie,Greta Lee,Ethan Suplee,-122.4229802,37.7967933,Russian Hill,tt5620076,2016,series,"Drama, Mystery, Thriller","Modern day noir story about Psychiatrist Eldon Chance, who's in a rut. He's middle-aged, his wife wants a divorce, which might put a strain on his relationship with his astute teenage daughter he deeply cares about, and he's getting tired of his professional work. Chance's natural talent for psychoanalysis allows him to easily assess everyone that wants his help but that doesn't mean he can actually cure them or even help them. Everything changes however, when he meets mysterious and attractive Jaclyn Blackstone, who turns out to have both dark secrets and big psychological as well as private problems. But her most immediate problem is her abusive ex-husband Raymond Blackstone, who also happens to be a corrupt cop with connections. Chance falls for Jaclyn and becomes obsessed with helping her but he quickly realizes that he's in over his head. Help eventually comes in the form of a hulking man called D. While clearly a bit unhinged, asocial and disturbed, D is also highly skilled, calculated, smart and efficient and possesses huge knowledge of tactics, weaponry and hand-to-hand combat. He is also highly focused and loyal and agrees to help Chance find a way to deal with the new and dangerous situation he's put himself in over Jaclyn.",English,United States,TV-MA,1,,7.5,11253,,,https://m.media-amazon.com/images/M/MV5BOTc3MDYwNTg4NF5BMl5BanBnXkFtZTgwMTk0NDYzMDI@._V1_SX300.jpg,,
Pushing Dead,2930 3rd Street,,"Pushing Dead , LLC",TBD,Tom Brown,Tom Brown,Danny Glover,James Roday,Robin Weigert,-122.388217,37.751986,Bayview Hunters Point,tt4572984,2016,movie,"Comedy, Drama","When a struggling writer, HIV positive for 20+ years, accidentally deposits a $100 birthday check, he is dropped from his health plan for earning too much. In this new era of sort-of universal care, can he take on a helpless bureaucracy or come up with $3000 a month to buy meds on his own?",English,United States,TV-MA,110,14 wins & 3 nominations total,6.4,524,,,https://m.media-amazon.com/images/M/MV5BY2MxNTI2MzMtZWIwOC00ZmVkLWFmZGYtYzM3MzBjYTcwNDRkXkEyXkFqcGc@._V1_SX300.jpg,,
Chance,15th St. between Vermont and Kansas,,TVM Productions,HULU,Carl Franklin,Peter Elkoff,Hugh Laurie,Gretchen Mol,Ethan Suplee,-122.4314,37.76569,Castro/Upper Market,tt5620076,2016,series,"Drama, Mystery, Thriller","Modern day noir story about Psychiatrist Eldon Chance, who's in a rut. He's middle-aged, his wife wants a divorce, which might put a strain on his relationship with his astute teenage daughter he deeply cares about, and he's getting tired of his professional work. Chance's natural talent for psychoanalysis allows him to easily assess everyone that wants his help but that doesn't mean he can actually cure them or even help them. Everything changes however, when he meets mysterious and attractive Jaclyn Blackstone, who turns out to have both dark secrets and big psychological as well as private problems. But her most immediate problem is her abusive ex-husband Raymond Blackstone, who also happens to be a corrupt cop with connections. Chance falls for Jaclyn and becomes obsessed with helping her but he quickly realizes that he's in over his head. Help eventually comes in the form of a hulking man called D. While clearly a bit unhinged, asocial and disturbed, D is also highly skilled, calculated, smart and efficient and possesses huge knowledge of tactics, weaponry and hand-to-hand combat. He is also highly focused and loyal and agrees to help Chance find a way to deal with the new and dangerous situation he's put himself in over Jaclyn.",English,United States,TV-MA,1,,7.5,11253,,,https://m.media-amazon.com/images/M/MV5BOTc3MDYwNTg4NF5BMl5BanBnXkFtZTgwMTk0NDYzMDI@._V1_SX300.jpg,,
Homeward Bound II: Lost in San Francisco,Pier 39 (Fisherman's Wharf),,Walt Disney Pictures,Buena Vista Pictures,David R. Ellis,Sheila Burnford,Michael J. Fox,Sally Field,,-122.409821,37.808673,North Beach,tt0116552,1996,movie,"Adventure, Comedy, Family","Shadow, Sassy and Chance are back! It's been three years since their trek through the woods and over the mountains. Now the family lives in San Fransisco and they're taking a vacation in Canada. Only problem, the pets escape from the airport while being put in the cargo area of the plane. Now their family is in Canada and the pets are all alone in San Fransisco. They meet scruffy bully dogs and a gang of rebel dogs all abandoned and have started their own group. Also looking for them is a ""Blood Red Van"" driven by bumbling dog catchers. Also Chance meets a girl dog and it's love at first bite.",English,United States,G,88,3 nominations total,5.9,16950,,"$32,772,492 ",https://m.media-amazon.com/images/M/MV5BODUxMjZkN2EtMDkyMC00MmQ2LTlhYmYtZTIwODAyOTFmMGRjXkEyXkFqcGc@._V1_SX300.jpg,56%,
Goliath,Bush Street at Grant Avenue,,Amazon Studios,Amazon Prime Video,Lawrence Trilling,Jennifer Ames,J.K. Simmons,Jena Malone,Lenora Crichlow,-122.4055626,37.7905824,Financial District/South Beach,tt4687880,2016,series,Drama,"Billy Mcbride is going through a rough patch. He has been fired from the law firm he helped build, his wife has left him, and he's now a down on his luck ambulance chaser. A lady (Patty) approaches him to represent her in a wrongful death case. After reluctantly accepting to take on the case, a series of strange events befall Billy. Through death threats, harassment, and trumped up arrests, Billy embarks on obtaining justice, and it is one hell of a ride. Additional unique cases eventually come Billy and Patty's way, making the ride even more entertaining.",English,United States,TV-MA,60,Nominated for 1 Primetime Emmy. 1 win & 11 nominations total,8.1,62986,,,https://m.media-amazon.com/images/M/MV5BN2YwNjY2NzEtYTE4ZC00MTZkLTlkM2ItZmJiZDAxNzE1OTQxXkEyXkFqcGc@._V1_SX300.jpg,,
The Etruscan Smile,San Francisco Airport,,"Po Valley Productions, LLC",TBD,Oded Binnun/ Michel Brezis,"Sarah Bellwood, Michal Lali Kagan, Michael McGowan Amital Stern, Jose Luis Sampedro",Brian Cox,Roseanne Arquette,Thora Birch,-122.3816274,37.6191145,,tt5459382,2018,movie,"Comedy, Drama","Brian Cox is Rory MacNeil, a rugged old Scotsman who reluctantly leaves his beloved isolated Hebridean island for San Francisco to seek medical treatment. Moving in with his estranged son, Rory's life will be unexpectedly transformed through a newly found love for his baby grandson.","English, Gaelic",United States,R,107,7 wins & 3 nominations total,6.9,2297,54,"$8,213 ",https://m.media-amazon.com/images/M/MV5BNGY4YjY3ZjItMjQzOS00ZGE2LWEyYzctNWI2MzIzYjgwNDE0XkEyXkFqcGc@._V1_SX300.jpg,70%,54/100
